transaction_id,client_id,date,transaction_type,product_name,amount,currency,status,notes
TXN-1001,CL001,2026-02-10,Subscription,APEX Global Multi-Asset Autocallable Note Series 7,1050000,USD,Settled,"Signed risk acknowledgement on file, same date."
TXN-1002,CL001,2026-03-01,Subscription,Global Technology Innovation Fund,840000,USD,Settled,
TXN-1003,CL001,2026-04-15,Coupon Payment,APEX Global Multi-Asset Autocallable Note Series 7,30188,USD,Settled,Quarterly contingent coupon paid - barrier condition met.
TXN-1004,CL001,2026-05-20,Subscription,Private Equity Co-Investment Vehicle - Fund IV,420000,USD,Settled,Initial capital call funded.
TXN-1005,CL001,2026-07-15,Coupon Payment,APEX Global Multi-Asset Autocallable Note Series 7,30188,USD,Settled,
TXN-1006,CL002,2024-11-12,Subscription,APEX Global Multi-Asset Autocallable Note Series 7,127500,USD,Settled,No signed product-specific risk acknowledgement located on file.
TXN-1007,CL002,2025-02-15,Coupon Payment,APEX Global Multi-Asset Autocallable Note Series 7,3665,USD,Settled,
TXN-1008,CL002,2025-05-15,Coupon Payment,APEX Global Multi-Asset Autocallable Note Series 7,3665,USD,Settled,
TXN-1009,CL002,2025-08-15,Coupon Payment,APEX Global Multi-Asset Autocallable Note Series 7,0,USD,Settled,Coupon Barrier condition not met - no coupon paid this period.
TXN-1010,CL002,2025-11-17,Coupon Payment,APEX Global Multi-Asset Autocallable Note Series 7,3665,USD,Settled,
TXN-1011,CL002,2026-01-05,Redemption,APAC Stable Income Money Market Fund,50000,SGD,Settled,Partial redemption for living expenses.
TXN-1012,CL003,2026-01-20,Subscription,Balanced Income & Growth Fund,840000,USD,Settled,
TXN-1013,CL003,2026-03-05,Subscription,Global Bond Income Fund,525000,USD,Settled,
TXN-1014,CL003,2026-05-12,Switch,Pacific Growth Equity Fund,525000,USD,Settled,Switched from cash into regional equity fund per review.
TXN-1015,CL004,2026-02-01,Subscription,Private Equity Co-Investment Vehicle - Fund IV,3700000,USD,Settled,Capital call 1 of 5 for family office co-investment.
TXN-1016,CL004,2026-04-20,Subscription,APEX Global Multi-Asset Autocallable Note Series 7,2775000,USD,Settled,Investment Policy Statement exception documented.
TXN-1017,CL004,2026-06-30,Coupon Payment,APEX Global Multi-Asset Autocallable Note Series 7,79781,USD,Settled,
TXN-1018,CL005,2026-01-10,Subscription,Pacific Growth Equity Fund,990000,USD,Settled,
TXN-1019,CL005,2026-02-20,Subscription,Global Technology Innovation Fund,660000,USD,Settled,
TXN-1020,CL005,2026-04-22,Subscription,Global Bond Income Fund,495000,USD,Settled,Cross-border transfer - source of funds re-verified.
TXN-1021,CL006,2026-01-05,Subscription,Pacific Growth Equity Fund,870000,USD,Settled,
TXN-1022,CL006,2026-01-05,Subscription,Global Technology Innovation Fund,725000,USD,Settled,
TXN-1023,CL006,2026-02-20,Subscription,Private Equity Co-Investment Vehicle - Fund IV,580000,USD,Settled,Capital call 1 of 5.
TXN-1024,CL007,2026-01-15,Subscription,Meridian Peak Regular Premium Investment-Linked Policy,15000,USD,Settled,Monthly premium payment.
TXN-1025,CL007,2026-02-15,Subscription,Meridian Peak Regular Premium Investment-Linked Policy,15000,USD,Settled,Monthly premium payment.
TXN-1026,CL007,2026-03-10,Subscription,Balanced Income & Growth Fund,612500,USD,Settled,
